
AMDuProfPcm Report

Processor Name:,AMD Ryzen 5 7600 6-Core Processor              
System:,Family(0x19) Model(0x61) Stepping(0x2)
Operating System:,Linux 6.14.0-33-generic
Number of Sockets :,1
Number of Core Complexes(CCX) :,1
Number of Cores :,6
Number of Threads :,12
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 3 4 5 6 7 8 9 10 11

Core P0 state frequency (MHz):,3801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,l3 -d 300 -o ../Adaboost/AMDC_IS_micro_performance_adaboost.csv -- ../Adaboost/client"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles
Topdown metrics are reported in "% slots"

Profile Time: 2025/10/24 15:12:26:562
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),FP Dispatch Faults (pti),IC Fetch Miss Ratio,Op Cache Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from L2 HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from L2 HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from L2 HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency (ns),
99.96,0.65,98.94,0.30,99.70,4867.49,1.51,0.69,1.52,0.66,1.44,0.66,87.95,0.00,176.95,0.86,0.05,0.00,0.04,0.01,2.22,0.09,694.45,2.19,0.08,1.38,0.72,0.51,0.02,0.02,0.47,1.63,0.04,1.34,0.25,49242545.00,21483346.00,43.63,97.32,
99.96,0.31,99.27,0.12,99.88,4866.46,1.50,0.56,1.51,0.66,1.79,0.66,87.47,0.00,176.05,0.93,0.05,0.00,0.04,0.01,1.92,0.08,702.53,2.09,0.05,1.31,0.71,0.50,0.02,0.02,0.46,1.57,0.03,1.29,0.25,46278881.00,20775961.00,44.89,98.72,
99.96,0.34,99.24,0.12,99.88,4863.24,1.51,0.53,1.52,0.66,1.87,0.66,87.93,0.00,176.58,0.84,0.05,0.00,0.04,0.01,1.94,0.07,696.49,2.07,0.04,1.32,0.69,0.48,0.01,0.02,0.45,1.60,0.03,1.33,0.24,46079003.00,20400973.00,44.27,97.40,
99.96,0.32,99.26,0.12,99.88,4864.10,1.51,0.56,1.52,0.66,1.79,0.66,87.95,0.00,176.80,0.84,0.05,0.00,0.03,0.01,1.88,0.05,694.75,2.10,0.05,1.36,0.70,0.49,0.01,0.02,0.46,1.60,0.03,1.33,0.24,46773821.00,20076859.00,42.92,97.78,
99.96,0.33,99.25,0.12,99.88,4862.15,1.51,0.55,1.51,0.66,1.82,0.66,87.54,0.00,175.82,0.90,0.05,0.00,0.03,0.01,1.85,0.06,700.52,2.17,0.04,1.37,0.74,0.50,0.02,0.02,0.46,1.66,0.03,1.34,0.28,46475562.00,20975961.00,45.13,97.84,
99.96,0.73,98.85,0.36,99.64,4864.30,1.52,0.74,1.52,0.66,1.35,0.66,88.10,0.00,174.69,0.88,0.05,0.00,0.05,0.01,2.46,0.11,694.07,2.93,0.07,1.77,1.08,0.53,0.02,0.03,0.48,2.36,0.05,1.69,0.61,51236270.00,25229936.00,49.24,97.33,
99.96,0.38,99.19,0.12,99.88,4855.08,1.57,0.49,1.58,0.64,2.02,0.63,91.31,0.00,158.48,0.52,0.06,0.00,0.05,0.01,3.29,0.16,683.72,10.27,0.07,5.10,5.11,0.68,0.03,0.04,0.62,9.49,0.03,4.97,4.49,77215542.00,52991518.00,68.63,96.35,
99.96,0.34,99.24,0.12,99.88,4856.71,1.52,0.53,1.52,0.66,1.88,0.66,87.90,0.00,170.84,0.87,0.05,0.00,0.04,0.01,2.24,0.08,701.07,4.00,0.05,2.25,1.72,0.53,0.02,0.03,0.48,3.43,0.04,2.15,1.23,54613276.00,29327038.00,53.70,98.50,
99.96,0.36,99.22,0.13,99.87,4857.19,1.51,0.53,1.52,0.66,1.88,0.66,87.86,0.00,176.54,0.84,0.05,0.00,0.03,0.01,1.86,0.06,694.60,2.05,0.05,1.31,0.69,0.49,0.02,0.02,0.45,1.57,0.04,1.29,0.24,46049226.00,20530347.00,44.58,97.90,
99.96,0.37,99.21,0.13,99.87,4854.22,1.51,0.52,1.52,0.66,1.94,0.66,87.73,0.00,176.88,0.84,0.05,0.00,0.03,0.01,1.91,0.07,695.67,2.05,0.05,1.30,0.70,0.50,0.02,0.02,0.47,1.54,0.03,1.27,0.23,46955842.00,20286268.00,43.20,98.06,
