
AMDuProfPcm Report

Processor Name:,AMD Ryzen 5 7600 6-Core Processor              
System:,Family(0x19) Model(0x61) Stepping(0x2)
Operating System:,Linux 6.14.0-33-generic
Number of Sockets :,1
Number of Core Complexes(CCX) :,1
Number of Cores :,6
Number of Threads :,12
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 3 4 5 6 7 8 9 10 11

Core P0 state frequency (MHz):,3801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,l3 -d 300 -o ../Linear_Regression/AMDC_IS_micro_performance_linear.csv -- ../Linear_Regression/client"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles
Topdown metrics are reported in "% slots"

Profile Time: 2025/10/24 15:58:47:155
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),FP Dispatch Faults (pti),IC Fetch Miss Ratio,Op Cache Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from L2 HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from L2 HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from L2 HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency (ns),
98.81,7.37,92.11,3.24,96.76,4905.51,1.52,0.66,1.59,0.66,1.51,0.63,87.79,0.00,130.33,0.84,0.57,0.00,0.04,0.02,6.51,0.23,688.90,4.04,0.20,2.64,1.20,1.16,0.05,0.12,0.99,2.67,0.15,2.31,0.21,125066419.00,113230500.00,90.54,143.72,
90.63,2.09,97.29,0.85,99.15,4921.55,1.55,0.63,1.57,0.64,1.59,0.64,82.58,0.00,110.25,0.28,1.80,0.00,0.06,0.01,2.81,0.18,701.78,5.50,0.14,3.60,1.85,1.75,0.05,0.64,1.05,3.69,0.08,2.82,0.80,164166755.00,141272176.00,86.05,112.45,
85.16,0.60,98.71,0.16,99.84,4923.57,1.65,0.43,1.66,0.61,2.34,0.60,82.40,0.00,106.81,0.05,2.08,0.00,0.09,0.01,1.28,0.11,705.01,6.10,0.09,3.54,2.53,1.76,0.05,0.56,1.15,4.27,0.04,2.85,1.39,163112188.00,148589653.00,91.10,109.69,
84.19,1.25,98.06,0.43,99.57,4924.38,1.71,0.58,1.73,0.58,1.72,0.58,84.61,0.00,107.09,0.11,2.10,0.00,0.10,0.01,1.76,0.17,703.90,6.98,0.13,3.63,3.26,1.80,0.06,0.50,1.24,5.11,0.06,3.04,2.02,168639614.00,152178374.00,90.24,110.17,
86.78,0.55,98.79,0.14,99.86,4920.58,1.67,0.42,1.67,0.60,2.41,0.60,84.83,0.00,106.61,0.04,2.13,0.00,0.09,0.01,1.39,0.13,705.60,6.85,0.10,3.68,3.20,1.78,0.05,0.52,1.21,5.02,0.04,2.99,1.99,165911920.00,150964214.00,90.99,108.93,
84.42,0.58,98.73,0.14,99.86,4920.69,1.71,0.41,1.71,0.59,2.42,0.58,84.50,0.00,106.88,0.04,2.10,0.00,0.10,0.01,1.38,0.14,705.66,6.95,0.10,3.59,3.27,1.78,0.05,0.49,1.24,5.10,0.04,3.03,2.03,166929971.00,151686010.00,90.87,109.80,
85.76,0.63,98.69,0.15,99.85,4919.45,1.68,0.39,1.69,0.60,2.55,0.59,84.45,0.00,106.61,0.05,2.12,0.00,0.09,0.01,1.28,0.12,705.07,6.62,0.09,3.60,2.99,1.75,0.05,0.52,1.17,4.83,0.04,2.97,1.82,164684852.00,149549622.00,90.81,109.30,
85.12,0.60,98.71,0.15,99.85,4918.38,1.70,0.42,1.70,0.59,2.40,0.59,84.65,0.00,106.55,0.04,2.13,0.00,0.09,0.01,1.26,0.11,705.40,6.84,0.10,3.61,3.17,1.77,0.05,0.51,1.21,5.03,0.05,3.02,1.96,165018650.00,150115767.00,90.97,108.77,
86.02,0.96,98.35,0.32,99.68,4914.86,1.67,0.56,1.69,0.60,1.78,0.59,84.35,0.00,106.76,0.10,2.12,0.00,0.10,0.01,1.75,0.17,704.41,6.88,0.13,3.61,3.20,1.78,0.06,0.51,1.21,5.04,0.06,3.00,1.99,167433400.00,150536540.00,89.91,108.98,
85.43,0.56,98.77,0.15,99.85,4914.59,1.69,0.44,1.70,0.59,2.27,0.59,84.56,0.00,106.73,0.04,2.12,0.00,0.10,0.01,1.56,0.15,705.52,7.00,0.12,3.64,3.28,1.81,0.05,0.50,1.26,5.11,0.04,3.05,2.02,165460400.00,150323609.00,90.85,108.91,
