
AMDuProfPcm Report

Processor Name:,AMD Ryzen 5 7600 6-Core Processor              
System:,Family(0x19) Model(0x61) Stepping(0x2)
Operating System:,Linux 6.14.0-33-generic
Number of Sockets :,1
Number of Core Complexes(CCX) :,1
Number of Cores :,6
Number of Threads :,12
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 3 4 5 6 7 8 9 10 11

Core P0 state frequency (MHz):,3801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,l3 -d 300 -o ../RF/AMDC_IS_micro_performance_rf.csv -- ../RF/client"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles
Topdown metrics are reported in "% slots"

Profile Time: 2025/10/24 15:49:58:065
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),FP Dispatch Faults (pti),IC Fetch Miss Ratio,Op Cache Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from L2 HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from L2 HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from L2 HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency (ns),
99.95,0.75,98.82,0.32,99.68,4898.37,1.43,0.61,1.44,0.70,1.63,0.69,83.93,0.00,165.83,0.99,0.01,0.00,0.09,0.01,3.22,0.29,743.35,2.46,0.11,1.17,1.13,0.92,0.04,0.07,0.80,1.47,0.07,1.07,0.33,85988389.00,36532895.00,42.49,101.65,
99.96,0.73,98.84,0.33,99.67,4898.96,1.45,0.66,1.45,0.69,1.52,0.69,84.54,0.00,165.89,0.97,0.00,0.00,0.07,0.01,2.59,0.18,744.30,2.45,0.15,1.21,1.14,0.89,0.04,0.06,0.79,1.47,0.05,1.07,0.35,86101242.00,35879939.00,41.67,101.15,
99.96,0.38,99.19,0.13,99.87,4898.55,1.44,0.50,1.44,0.69,2.01,0.69,84.22,0.00,165.70,0.95,0.00,0.00,0.06,0.01,2.25,0.14,746.94,2.39,0.07,1.14,1.13,0.89,0.04,0.06,0.80,1.45,0.06,1.06,0.33,81768713.00,33365885.00,40.81,100.57,
99.96,0.42,99.15,0.14,99.86,4898.34,1.44,0.46,1.44,0.69,2.17,0.69,84.26,0.00,166.02,0.94,0.01,0.00,0.06,0.01,2.40,0.15,743.93,2.41,0.08,1.20,1.15,0.88,0.04,0.05,0.79,1.46,0.04,1.06,0.36,81647207.00,32974832.00,40.39,100.94,
99.96,0.39,99.18,0.13,99.87,4898.34,1.44,0.49,1.45,0.69,2.02,0.69,84.50,0.00,165.89,0.93,0.00,0.00,0.06,0.01,2.22,0.14,745.91,2.38,0.07,1.12,1.13,0.89,0.04,0.06,0.79,1.46,0.06,1.07,0.33,82292726.00,33656345.00,40.90,100.58,
99.96,0.40,99.17,0.13,99.87,4897.03,1.44,0.48,1.44,0.70,2.07,0.69,84.13,0.00,165.83,0.90,0.01,0.00,0.07,0.01,2.49,0.17,743.44,2.40,0.08,1.14,1.12,0.88,0.04,0.06,0.78,1.49,0.04,1.10,0.34,80912777.00,32916661.00,40.68,100.87,
99.95,0.78,98.78,0.35,99.65,4898.64,1.44,0.65,1.45,0.69,1.55,0.69,84.31,0.00,165.82,0.93,0.00,0.00,0.07,0.01,2.49,0.17,745.45,2.43,0.14,1.19,1.13,0.90,0.03,0.06,0.81,1.45,0.06,1.08,0.32,85114830.00,34923140.00,41.03,101.35,
99.95,0.46,99.08,0.15,99.85,4898.62,1.44,0.46,1.45,0.69,2.16,0.69,84.37,0.00,165.86,0.90,0.00,0.00,0.07,0.01,2.21,0.15,745.31,2.37,0.08,1.17,1.12,0.87,0.03,0.05,0.78,1.42,0.04,1.03,0.34,82192798.00,32988948.00,40.14,100.63,
99.96,0.36,99.21,0.13,99.87,4897.04,1.44,0.51,1.44,0.69,1.97,0.69,84.26,0.00,165.90,0.90,0.01,0.00,0.08,0.01,2.51,0.21,742.68,2.43,0.09,1.17,1.14,0.89,0.04,0.05,0.80,1.45,0.04,1.07,0.34,81339748.00,32868080.00,40.41,101.44,
99.96,0.36,99.21,0.13,99.87,4892.76,1.44,0.50,1.45,0.69,1.98,0.69,84.42,0.00,165.85,0.89,0.00,0.00,0.06,0.01,2.16,0.13,745.16,2.39,0.07,1.14,1.13,0.89,0.03,0.05,0.80,1.43,0.04,1.06,0.33,82646163.00,33237039.00,40.22,101.19,
99.95,0.37,99.20,0.13,99.87,4890.85,1.44,0.49,1.44,0.69,2.03,0.69,84.06,0.00,165.80,0.93,0.01,0.00,0.07,0.01,2.37,0.16,743.29,2.30,0.09,1.16,1.10,0.87,0.04,0.06,0.77,1.43,0.05,1.05,0.33,81494124.00,33205985.00,40.75,101.20,
