AMDuProfPcm Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Processor Name:,AMD EPYC 7473X 24-Core Processor               ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System:,Family(0x19) Model(0x1) Stepping(0x2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating System:,Linux 6.8.0-85-generic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Sockets :,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Core Complexes(CCX) :,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Cores :,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Threads :,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMT Enabled in HW:,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMT Enabled by OS :,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU Topology:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Socket, CCX, Core(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.68,50.89,0.78,98.1,1.9,3743.98,0.3,0.3,0.38,3.29,3.3,2.61,0.95,0,220.82,30.52,0,0,0.1,0.61,451.05,42.87,491.08,77.61,50.98,23.43,6.97,8.18,0.41,6.64,1.13,69.36,43.2,20.27,5.84,11770522,3174869,26.97,881.49,0.56,0.35,0.21
1.64,50.8,0.08,99.95,0.05,3743.51,0.31,0.31,0.11,3.23,3.23,9.13,0.93,0,220.62,30.41,0,0,0.1,0.59,431.28,41.83,490.48,81.12,51.8,23.47,7.38,3.18,0.7,1.39,1.09,77.63,49.38,21.92,6.29,11787275,3564693,30.24,868.8,0.57,0.36,0.21
1.69,51.28,0.55,99.36,0.64,3744.53,0.3,0.3,0.18,3.36,3.35,5.59,0.94,0,220.82,30.4,0,0,0.09,0.61,452.2,42.53,492.36,72.11,46.06,21.2,6.94,3.18,0.68,1.19,1.3,77.13,49.63,21.81,5.64,10962552,3204627,29.23,887.03,0.56,0.35,0.21
1.66,51.19,0.05,99.94,0.06,3743.84,0.3,0.3,0.2,3.31,3.31,4.91,0.92,0,220.76,30.43,0,0,0.09,0.61,453.66,42.71,492.9,82.27,51.47,25.9,7.43,4.05,1.06,1.82,1.17,78.56,49.97,22.28,6.26,11379384,3266237,28.7,906.43,0.56,0.35,0.21
1.7,50.72,1.02,90.67,9.33,3746.77,0.33,0.3,1.56,3.06,3.3,0.64,1.04,0,220.87,30.33,0,0,0.1,0.6,444.45,45.94,494.98,79.93,44.81,21.76,8.09,11.11,1.57,7.76,1.78,68.4,42.1,19.94,6.31,13871296,3448249,24.86,871.91,0.59,0.38,0.21
1.68,51.29,0.62,95.87,4.13,3744.98,0.31,0.3,1.07,3.23,3.32,0.93,0.97,0,220.76,30.19,0,0,0.09,0.61,451.8,42.73,491.89,82.27,50.79,23.85,7.36,3.39,0.87,1.5,1.01,77.54,49.38,21.76,6.34,12767467,3350588,26.24,892.04,0.61,0.4,0.21
1.68,51.3,0.79,91.98,8.02,3744.03,0.32,0.3,1.71,3.1,3.32,0.58,1.01,0,221.93,27.97,0,0,0.09,0.59,425.28,40.13,480.65,82.27,44.41,27.24,7.36,2.56,0.35,1.2,1.01,78.2,49.87,21.93,6.35,12212505,3235870,26.5,908.28,0.58,0.37,0.21
1.67,50.24,1.52,94.85,5.15,3744.11,0.31,0.31,0.55,3.2,3.27,1.82,0.97,0,220.83,30.43,0,0,0.09,0.6,452.12,42.86,489.45,81.2,50.42,23.08,6.91,4.8,2.37,1.62,0.82,73.81,46.19,21.48,6.09,10312460,3004238,29.13,897.44,0.58,0.37,0.21
1.66,51.33,0.15,98.97,1.03,3744.39,0.31,0.31,1.1,3.23,3.25,0.91,0.95,0,220.74,30.32,0,0,0.09,0.6,440.89,41.14,490.13,81.18,52.53,24,7.05,3.86,1.45,1.48,0.92,77.71,49.8,21.74,6.12,10913190,3253196,29.81,874.46,0.57,0.36,0.21
1.65,51.05,0.22,99.08,0.92,3744.83,0.31,0.3,0.65,3.26,3.28,1.55,0.93,0,220.84,30.32,0,0,0.09,0.61,452.2,42.53,492.44,80.54,49.95,23.78,7.01,3.55,1.25,1.45,0.85,77.77,49.79,21.77,6.16,11691886,3128408,26.76,873.19,0.57,0.35,0.21
1.67,51.25,0.16,99.67,0.33,3744.44,0.3,0.3,0.33,3.3,3.3,3.04,0.94,0,223.11,29.39,0,0,0.09,0.6,442.99,42.04,487.99,65.65,37.65,24.99,7.55,4.02,0.52,1.44,2.06,75.51,48.57,21.39,5.49,11958647,3174610,26.55,843.19,0.6,0.39,0.21
1.7,51.14,0.91,93.15,6.85,3745.22,0.32,0.3,1.26,3.13,3.3,0.79,1.02,0,220.56,30.29,0,0,0.09,0.6,447.57,42.41,484.84,83.09,51.31,24.31,7.81,4.23,0.88,2.19,1.16,76.77,48.45,21.62,6.65,13581574,3755283,27.65,897.48,0.59,0.37,0.21
1.66,50.84,0.58,94.26,5.74,3744.33,0.32,0.3,1.61,3.14,3.29,0.62,0.98,0,225.13,28.29,0,0,0.1,0.61,458.68,45.75,494.23,79.46,51.38,23.63,7.7,4.4,1.02,1.86,1.52,72.93,46.27,20.44,6.17,12295168,3581586,29.13,856.54,0.57,0.36,0.21
1.67,51.73,0.08,99.6,0.4,3743.68,0.3,0.3,0.8,3.28,3.29,1.24,0.95,0,220.54,30.29,0,0,0.1,0.61,453.69,43.29,492.1,81.44,51.09,23.24,7.04,2.88,0.57,1.34,0.96,77.61,49.55,21.92,6.08,11058339,3304934,29.89,903.75,0.58,0.37,0.21
1.67,50.32,1.03,97.34,2.66,3745.42,0.31,0.31,0.41,3.24,3.26,2.44,0.95,0,221.59,29.98,0,0,0.09,0.61,452.99,42.47,492.36,80.87,42.43,29.61,7.01,3.66,1.04,1.81,0.81,78.42,48.63,23.54,6.2,12194086,3185172,26.12,906.69,0.6,0.39,0.21
1.66,51.37,0.06,99.63,0.37,3743.87,0.31,0.3,1.03,3.27,3.28,0.97,0.94,0,219.66,26.4,0,0,0.09,0.59,430.42,40.2,484.54,83.95,51.14,25.6,7.59,4.18,1.34,1.64,1.2,78.5,50.08,21.98,6.39,12155861,3079515,25.33,873.59,0.6,0.39,0.21
1.65,50.95,0,100,0,3745.38,0.3,0.3,0.13,3.29,3.29,7.8,0.92,0,220.73,30.48,0,0,0.09,0.61,451.75,42.8,491.76,79.92,51.48,23.52,9.12,4.89,0.56,1.31,3.01,78.09,49.65,22.28,6.11,11494495,3366678,29.29,861.74,0.57,0.35,0.21
1.7,50.48,1.91,75.09,24.91,3743.82,0.39,0.31,2.67,2.56,3.28,0.37,1.25,0,225.12,21.94,0,0,0.09,0.48,299.8,27.14,414.56,63.53,42.32,20.36,5.92,3.87,1.35,1.61,0.9,66.18,41.3,19.82,5.02,12647251,3418724,27.03,848.01,0.58,0.37,0.21
1.72,50.8,1.25,92.86,7.14,3746.18,0.32,0.3,0.94,3.16,3.32,1.06,1.02,0,231.48,26.93,0,0,0.1,0.59,432.12,41.86,484.55,88.82,49.73,29.59,7.6,4.55,1.22,2.21,1.12,73.8,45.43,21.84,6.47,13384521,3722746,27.81,854.09,0.62,0.41,0.21
1.68,51.25,0.74,93.14,6.86,3743.69,0.32,0.3,1.54,3.13,3.32,0.65,1,0,220.78,30.18,0,0,0.1,0.61,456.01,43.33,492.02,83.56,51.9,23.66,7.43,5.31,2.02,2.05,1.24,75.09,47.94,20.91,6.19,12592321,3318479,26.35,884.11,0.59,0.37,0.21
1.72,52.82,0.42,96.87,3.13,3742.98,0.32,0.31,1.24,3.17,3.25,0.81,1.04,0,230.19,31.15,0,0,0.09,0.58,418.75,39.76,473.43,82.29,51.09,23.79,8.57,5.51,0.9,1.92,2.69,72.78,46.42,20.43,5.87,12882547,3460989,26.87,861.84,0.59,0.37,0.21
1.68,51.68,0.25,99.17,0.83,3744.38,0.3,0.3,0.53,3.32,3.33,1.9,0.94,0,220.75,30.12,0,0,0.09,0.57,414.3,36.85,453.95,82.56,51.46,23.44,7.47,4.05,1.21,1.61,1.23,77.56,49.56,21.71,6.24,12576673,3181466,25.3,901.91,0.58,0.37,0.21
1.68,51.61,0.11,99.67,0.33,3743.99,0.3,0.3,0.46,3.28,3.28,2.16,0.95,0,220.82,30.26,0,0,0.09,0.6,441.41,41.38,489.18,82.13,51.97,23.38,7.24,3.38,0.99,1.39,1,77.55,49.55,21.7,6.24,12566772,3750270,29.84,911.54,0.57,0.36,0.21
1.67,51.31,0.56,98.92,1.08,3743.81,0.3,0.3,0.3,3.31,3.31,3.33,0.94,0,220.43,30.32,0,0,0.1,0.6,446.26,42.84,488.9,79.88,51.45,23.56,7.27,3.96,1.34,1.48,1.14,77.54,49.59,21.77,6.13,13859215,3562153,25.7,909.09,0.6,0.39,0.21
1.68,51.07,0.27,98.82,1.18,3745.26,0.31,0.31,0.69,3.25,3.27,1.44,0.95,0,221,30.01,0,0,0.1,0.61,455.11,43.73,492.05,82.97,48.72,22.71,7.58,3.83,1.05,1.45,1.32,78.16,50.13,21.73,6.26,11987783,3171400,26.46,873.39,0.58,0.37,0.21
1.72,51.87,0.86,96.09,3.91,3744.27,0.31,0.3,0.73,3.28,3.35,1.36,0.99,0,220.76,30.31,0,0,0.09,0.57,416.21,37.02,454.31,82.83,51.57,23.27,7.36,4.04,1.06,1.84,1.14,76.63,48.99,21.37,6.22,12897709,3318533,25.73,845.85,0.58,0.37,0.21
