99.96,7.75,91.81,1.78,98.22,4867.54,1.75,0.4,1.86,0.57,2.5,0.54,101.64,0,201.79,1.08,0.03,0,0.06,0.06,16.68,1.05,484.28,5.37,0.56,4.38,0.25,0.3,0.01,0.09,0.2,4.75,0.53,4.17,0.05,46927243,35744276,76.17,271.64
99.96,1.71,97.85,0.51,99.49,4875.71,1.92,0.57,1.94,0.52,1.76,0.51,111.82,0,201.89,0.79,0.03,0,0.06,0.05,13.73,0.88,484.35,4.69,0.43,4.15,0.12,0.12,0.01,0.02,0.09,4.53,0.42,4.08,0.03,19462389,10112520,51.96,106.26
99.96,2.2,97.36,0.69,99.31,4875.72,1.91,0.6,1.94,0.52,1.67,0.52,111.3,0,201.87,0.84,0.03,0,0.07,0.05,14.48,0.97,483.97,4.78,0.5,4.15,0.14,0.14,0.01,0.03,0.1,4.62,0.49,4.09,0.03,23682888,12914547,54.53,121.29
99.96,1.84,97.72,0.59,99.41,4875.61,1.92,0.61,1.94,0.52,1.64,0.51,111.68,0,201.57,0.8,0.03,0,0.06,0.05,13.91,0.89,485.96,4.62,0.45,4.06,0.12,0.12,0.01,0.02,0.09,4.49,0.44,4.02,0.03,18245981,8371642,45.88,112.92
99.95,13.82,85.67,3.27,96.73,4880.29,1.58,0.37,1.77,0.63,2.7,0.56,91.74,0,198.89,1.35,0.02,0,0.06,0.07,20.46,1.16,498.85,5.91,0.76,4.37,0.48,0.58,0.03,0.19,0.37,4.77,0.74,3.92,0.11,78259197,65239574,83.36,290.16
99.96,4.3,95.24,1.64,98.36,4877.66,1.72,0.65,1.77,0.58,1.53,0.57,100.24,0,186.31,0.76,0.01,0,0.05,0.04,13.45,0.66,559.91,3.81,0.42,2.96,0.43,0.29,0.01,0.05,0.23,3.38,0.41,2.77,0.2,45334928,34999894,77.2,115.98
99.96,4.83,94.72,2.2,97.8,4879.33,1.55,0.7,1.6,0.64,1.42,0.63,90.55,0,170.41,0.6,0.01,0,0.03,0.04,12.99,0.34,637.24,2.77,0.29,1.85,0.63,0.38,0.02,0.04,0.32,2.28,0.29,1.68,0.31,49278787,43422815,88.12,115.24
99.95,8.45,91.05,3.76,96.24,4878.37,1.49,0.66,1.57,0.67,1.51,0.64,87.04,0,170.28,1.05,0.04,0,0.04,0.08,24.64,0.87,645.97,3.47,0.67,2.1,0.69,0.49,0.03,0.04,0.42,2.7,0.62,1.82,0.27,64361155,57721739,89.68,154.92
99.96,0.32,99.24,0.12,99.88,4875.08,1.56,0.58,1.56,0.64,1.73,0.64,90.55,0,168.58,0.32,0.11,0,0.01,0.09,25.54,0.38,669.48,0.4,0.06,0.22,0.12,0.1,0,0.01,0.09,0.29,0.05,0.21,0.02,10996517,8901196,80.95,97.73
99.96,0.31,99.25,0.11,99.89,4876.15,1.56,0.58,1.56,0.64,1.74,0.64,90.58,0,168.55,0.32,0.11,0,0.01,0.09,25.57,0.38,669.44,0.4,0.07,0.22,0.12,0.11,0.01,0.01,0.09,0.3,0.06,0.22,0.02,11025373,8871710,80.47,96.86
