filename,DC_Hit_Percentage,DC_Miss_Percentage,IC_Hit_Percentage,IC_Miss_Percentage,L2_Hit_Percentage,L2_Miss_Percentage,L2_Miss_Rate_from_DC_Miss,L2_Miss_Rate_from_IC_Miss,L3_Hit_Percentage,L3_Miss_Percentage
IS_AMDC_micro__performance_adaboost.csv,92.62164214964426,7.378357850355742,84.98760594509105,15.01239405490896,33.5449480898892,66.4550519101108,31.1011301072153,55.50708672052406,54.508986946211294,45.491013053788706
IS_AMDC_micro__performance_kmeans.csv,90.14869607007851,9.851303929921487,80.23017394290761,19.76982605709238,33.775033643295245,66.22496635670475,32.01407710044092,55.84173765786681,50.57415597160445,49.42584402839555
IS_AMDC_micro__performance_linear.csv,93.87243495853882,6.127565041461181,78.01463037806931,21.98536962193068,26.91336991432732,73.08663008567268,52.21743794608129,67.86163432256672,53.04343387051892,46.95656612948108
IS_AMDC_micro__performance_lr.csv,97.40261861246208,2.5973813875379266,83.33280006326754,16.667199936732455,32.13662747731199,67.86337252268801,46.54302457371023,63.2231470622821,54.88760250659074,45.11239749340926
IS_AMDC_micro__performance_lsvm.csv,97.4294746321253,2.570525367874698,83.45778403236889,16.5422159676311,31.124026434050222,68.87597356594978,46.13538969142238,7.031325411501811,55.86640846411594,44.13359153588406
IS_AMDC_micro__performance_nb.csv,98.71367545553392,1.2863245444660787,89.8194554105893,10.180544589410705,56.25266869016589,43.74733130983411,24.0953763643908,37.72800943951675,59.64018648270853,40.35981351729147
IS_AMDC_micro__performance_rf.csv,96.29320839558687,3.7067916044131253,83.79171472971325,16.20828527028675,21.638898439466203,78.3611015605338,35.80226104335472,56.81871785080528,36.404012046698774,63.595987953301226
IS_AMDC_micro_performance_ksvm.csv,92.58068161166004,7.419318388339965,78.41571285710042,21.58428714289958,32.25002225834443,67.74997774165557,42.64838711539411,66.05025028374772,32.12198071892762,67.87801928107238
